date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease
7/21/20,1302,12,1009,0,170,1549,8538,530023,5126,535,0,70358,1467,1,599098,6490
7/20/20,1290,4,994,0,586,1571,8368,524897,6375,528,0,68891,1880,1,592608,8221
7/19/20,1286,1,988,0,0,1524,7782,518522,9261,526,0,67011,1777,1,584387,10946
7/18/20,1285,21,982,0,198,1463,7782,509261,9237,524,0,65234,2143,1,573441,11306
7/17/20,1264,35,967,0,0,1433,7584,500024,10003,521,0,63091,2003,1,562135,11956
7/16/20,1229,19,950,0,293,1395,7584,490021,8039,516,0,61088,2021,1,550179,9972
7/15/20,1210,47,941,0,168,1332,7291,481982,10148,514,0,59067,1812,1,540207,11932
7/14/20,1163,40,931,0,378,1362,7123,471834,7775,511,0,57255,1710,1,528275,9448
7/13/20,1123,3,919,0,0,1335,6745,464059,6140,505,0,55545,1958,1,518827,8000
7/12/20,1120,7,911,0,0,1163,6745,457919,7846,503,0,53587,1640,1,510827,9460
7/11/20,1113,10,904,0,3656,1093,6745,450073,8365,496,0,51947,1439,1,501367,9767
7/10/20,1103,36,888,0,50,1201,3089,441708,20378,493,0,50508,1334,1,491600,23846
7/9/20,1067,10,877,0,33,1135,3039,421330,0,490,0,49174,2212,1,467754,0
7/8/20,1057,25,871,0,45,1116,3006,421330,5751,486,0,46962,1177,1,467754,6912
7/7/20,1032,26,858,0,47,1078,2961,415579,5362,479,0,45785,907,1,460842,6250
7/6/20,1006,0,843,0,5,1025,2914,410217,4284,473,0,44878,925,1,454592,5209
7/5/20,1006,0,843,0,3,919,2909,405933,6707,473,0,43953,1091,1,449383,7798
7/4/20,1006,1,843,0,23,818,2906,399226,10460,473,0,42862,997,1,441585,11457
7/3/20,1005,21,838,0,48,838,2883,388766,9149,474,0,41865,1754,1,430128,10907
7/2/20,984,13,826,0,32,843,2835,379617,4626,468,0,40111,1149,1,419221,5788
7/1/20,971,22,814,0,34,809,2803,374991,6384,464,0,38962,917,1,413433,7290
6/30/20,949,21,806,0,44,775,2769,368607,12489,458,0,38045,870,1,406143,13343
6/29/20,928,10,801,0,22,726,2725,356118,5279,457,0,37175,1734,1,392800,6997
6/28/20,918,0,790,0,6,650,2703,350839,1896,454,0,35441,358,1,385803,1777
6/27/20,918,12,789,0,44,655,2697,348943,4803,453,0,35083,900,1,384026,6169
6/26/20,906,11,772,0,41,668,2653,344140,7888,450,0,34183,977,1,377857,8852
6/25/20,895,5,761,0,45,694,2612,336252,9557,447,0,33206,1142,1,369005,10686
6/24/20,890,27,749,0,46,683,2567,326695,3754,441,0,32064,967,1,358319,4708
6/23/20,863,23,737,0,50,681,2521,322941,4285,430,0,31097,643,1,353611,4924
6/22/20,840,2,725,0,11,663,2471,318656,3999,424,0,30454,433,1,348687,4432
6/21/20,838,1,721,0,17,625,2460,314657,4683,424,0,30021,472,1,344255,5155
6/20/20,837,16,717,0,27,638,2443,309974,7651,418,0,29549,547,1,339100,8194
6/19/20,821,12,710,0,43,650,2416,302323,7995,415,0,29002,796,1,330906,8782
6/18/20,809,20,695,0,21,668,2373,294328,10917,405,0,28206,894,1,322124,11799
6/17/20,789,5,687,0,37,688,2352,283411,4899,401,0,27312,400,1,310325,5289
6/16/20,784,11,682,0,56,683,2315,278512,2110,399,0,26912,640,1,305036,2742
6/15/20,773,1,676,0,4,641,2259,276402,4562,395,0,26272,657,1,302294,5219
6/14/20,772,0,675,0,14,576,2255,271840,3189,395,0,25615,1014,1,297075,4203
6/13/20,772,4,672,0,39,563,2241,268651,5976,395,0,24601,891,1,292872,6864
6/12/20,768,14,658,0,37,624,2202,262675,6694,384,0,23710,865,1,286008,7553
6/11/20,754,11,650,0,36,647,2165,255981,4913,380,0,22845,856,1,278455,5761
6/10/20,743,15,646,0,42,646,2129,251068,4751,378,0,21989,567,1,272694,5306
6/9/20,728,11,631,0,33,628,2087,246317,7251,375,0,21422,497,1,267388,8156
6/8/20,717,26,623,0,32,593,2054,239066,0,371,0,20925,425,1,259232,0
6/7/20,691,3,615,0,29,518,2022,239066,13465,364,0,20500,457,1,259232,13922
6/6/20,688,13,612,0,44,473,1993,225601,5515,363,0,20043,656,1,245310,6151
6/5/20,675,23,603,0,20,582,1949,220086,3859,358,0,19387,315,1,239159,3860
